delta,true_label,pred_label,text,explanation
-60.05003044612204,neg,neg," I eagerly awaited the arrival of this new Titan after Nissan let their original version (and the Frontier/Xterra line) languish for a decade with virtually no meaningful redesigns. Nissan, shame on you! (My 2006 Xterra S is one of the best vehicles I have ever owned...) The early pics of the new Titan were concerning;  it looked like a mash-up of various other brands, and just way overdone, e.g. the ridiculous emblems on the front fenders. Still, I wanted to see the truck in person and drive the beast. When it finally arrived at a close-enough dealer, I made the trip. Talk about a let-down! This thing is an abomination. Just WAY too big for a 'tweener. Maybe it should be marketed to WWE performers, because it's so massive in every respect. Except performance. Sluggish acceleration, and despite having a price tag at or above ""real"" heavy duty trucks, it does not provide real heavy duty truck capabilities. The SV I looked at and drove had an MSRP of $55k, and the dealer wasn't going to ""move much"" off that price. Yet I could buy a RAM 2500 with the awesome Cummins 6.7 liter diesel and its 370 HP and 800 (!!) ft-lbs of torque -- for $51k after dealer markdowns. In summary, I could buy this new Titan (and I was truly a Nissan advocate, having owned five of their vehicles in the last 15 years) with less capability and unproven reliability but pay more for it, vs. a proven star heavy duty truck in the RAM mentioned. No contest. Unless Nissan cuts their pricing by $10k, I don't know why anybody would opt for the 'XD'. I would be astonished if Nissan meets their sales expectations with this XD. On the other hand, they sold what, like 12k Titans in all of 2015? (Ford sells that many F150s in a week...) Thumbs down, and a Bronx jeer to Nissan for letting their Frontier and Xterra become old and obsolete. New models should have been released several years ago, including a diesel option and better/more adjustable SEATS!!!!!!!!!!!!!! (and rear suspension that doesn't bottom out when rolling over obstacles like the edge of my driveway... sheesh.)",
9.088932447415502,neu,pos,"Land Rover Defender 130 P500 2024 review: plenty of space and power, but also rather excessive",
-12.189757157874396,neg,neg," I've had my Rav4 for a year and took it to the dealer to have the transmission checked.When making a low speed turn, after braking then pressing the accelerator, the automatic transmission shifts roughly. It feels like a new driver just learning to drive a manual transmission.The dealer test drove it, identified the issue, then said that was normal and there is nothing wrong with my Rav4.Other dislikes: hard seats, brake too close to accelerator, doors sound tinny when closed, keyless ignition locks up randomly, too many lever controls on steering column (3 with wipers, lights, and cruise control)",
46.74505418913145,pos,pos," I loved my new Rogue the second I sat in it at the dealer.  I was originally looking to buy a Murano and on the way out of the show room I walked by the brand new just released two weeks ago, Rogue.  Blew my socks off.  The gas mileage is unbelievable.  I get 25.6 mpg in the city.  I get well over 30 mpg on the highway. The paddle shifters on the steering wheel are very different and fun.  The pep this car has for a 4 cylinder is just incredible.  The CVT offers such a smooth ride that I forget how fast I am going sometimes because I am so used to a car shifting.   I highly recommend at least test driving one for yourself.  ",
9.488402672310144,neu,pos," My purchase was in the spring so in trusting my dealership  to be honest with me as a loyal customer they badly misrepresented  the performance of the AWD feature on the Rogue, I feel it is a high priced  enhanced traction control and as far as AWD in the snow its awful! thanks Ken Ganley Nissan. the AWD engages maybe for a split second if that and you still slide all over the road, live and learn  that sales people only care about the almighty $$ not you as a loyal customer. If you want good, safe performance  in the snow get a AWD vehicle that engages and stays engaged in AWD/ 4x4.It was new to me  so an expensive lesson! ",
20.870791850028354,neu,pos, I bought my rav 4 base model in 2012.  It's an upgraded 4wd base model with a sun roof.  It has great acceleration but am very disappointed with the gas mileage for this vehicle.  It seems to be on the low end of 22mpg and with a small gas tank seem to be at the gas station twice a week for a fill up.  What is even more depressing is the floor carpet in the interior.  On the drivers side the carpet is already torn by the left foot rest.  I never expected that for an owner who takes the best care of a vehicle.  It will cost lots of money to repair it.,
35.30231636836322,pos,pos," My wife and I were looking for a reliable car with excellent gas mileage.  We found it.  My wife drives about 30,000 miles a year for her job.  This car is perfect.  It has lots of room and the back seats fold down for our hiking equipment.  We love the great gas mileage.",
10.01774734309737,pos,pos," Excellent front leg room for this six foot guy.  CVT makes a strange growl in reverse, otherwise does a fine job. Needs more power, won't pull the hat off your head. I love this car and you will too, unless you are into performance.",
-12.060731981987146,neg,neg," Bought it in Sept 2015, and it was the worst decision I ever made. The interior is very cheaply made.  It has one of the worst factory stereos I have ever seen. The speaker sound goes up and down by its self, it sounds as if I put a blanket over the speakers. The nav system is just as bad. When on the phone through bluetooth it also fades in and out and the person on the other end of the phone has problems hearing. The blind spot is not good, it needs to sound an alarm when wanting to change lanes, just some little flashing lights are not enough. The LDA (lane departure alarm) system is just stupid. If you are drifting out of your lane the car should push you back not just sound an alarm. There are a lot of other things ( way too many to list) wrong with this car. For just over $30K it should be a much better car. We bought my husbands car a 2015 Chrysler 200 for about the same price and his is by far a better car for the price. I will never buy Toyota again.",
-25.045061541769883,neu,neg," Not recommending this van if you don't want to buy all 4 tires every 2 years we have had the van since 2013 and had to replace the tires twice... they said it's a more heavy of a van so it's hard on the tires.... Goodyear tires bought the more expensive tires after replacing them after 2 years because we wanted them to last!!  Also have had rust problems, air leaking threw the doors.. had to be fixed twice still Air sound...",
-29.248025964904627,neg,neg," We bought the Quest believing that Nissan makes a good product.  We were disappointed from the start. The gear lever came off, the seat adjustment came off several times, the door button fell inside the panel, the arm rests won't stay even, the sliding doors rattle and we were told nothing could be done.  The exterior is cheap and gets dinged easily.  The front nose cone is cheap plastic and breaks constantly requiring replacement of the entire cone.  The tires are a rip off as you can only buy one type of tire at a high price.  The car has been a complete disapointment.",
9.355864882888476,pos,pos," This car is very stylish, reliable and fun to drive.",
13.541358262982499,pos,pos," This truck drives very nice, it is very comfortable, good on gas, and very fun to drive in! I would never buy any other kind of truck exspecially a ford. ",
-57.24896175678202,neg,neg," I have a 2007 Nissan Pathfinder. I too have the same problem with radiator & transmission. I called Nissan and they will not help me because I have 103,000 miles on it. The lady I talked to was Jacenta (sp) and she told me that I did have 103,000 miles on it so they couldn't help me and hung up on me. Obviously Nissan feels that a transmission should only last 80,000 miles and if their faulty mechanics cause antifreeze to ruin your transmission they should not be held responsible. I wonder if any CEO of Nissan would take a gallon of antifreeze and dump into their transmission? That is exactly what Nissan is doing and it usually happens around the 100,000 mark from what I hear. ",
19.794699034928556,neu,pos," The Nissan Quest van beats its competitors with its bold design and features, but there are some quality issues which Nissan needs to address, like the Rattle sounds in the doors. The console even though looks very impressive, very hard to locate and operate the buttons. Overall this is a good van for the price",
19.484377088311078,neu,pos," Love the truck but it has some serious acceleration problems and transmission problems . With 19,000 miles on it I have to replace my tires . Previously owned to two Dodge rams and for the price rams are much better for everything but the ride. Toyota beats ram in ride and smoothness . Toyota way to expensive. For that type of truck. The biggest downfall is the sensitive gas pedal . Very dangerous",
7.961281167969105,neg,pos," Low range average without using other sources such as A/C, heat that kills mileage, and acceleration average about 35-50 per charge. Car states 80 average range but never gets that. In winter the mileage is extremely low due to using the heat. Not able to warm up car on cold days. Acceleration is fun but kills mileage.",
-13.490521449702328,neg,neg," questionable gas mileage at best, 4cyl is noisy, paint is the worst I have ever had on a vehicle, chipps to easily, toyota should put a full case of touch-paint in every vehicle. Has a tendency to accelerate, and the start stop button does not work as it is designed to do, alot of times the vehicle will not start when button is pressed. Toyota techs are even sure how to fix this problem nor can they explain how this is occuring with more frequency.",
-56.69096013800299,neu,neg," I purchased a 2004 Nissan Maxima after extensive research as a left over in January 2005. The car was garaged 95% of the time and serviced by the dealership until the warranty expired. Traveling from South Carolina to Pennsylvania, the ABS and Brake lights illuminated. Standard brakes were still operational subsequently I drove the car to the Faulkner dealership in Harrisburg. Here the mechanics determined there was a fault code indicating an entire ABS replacement. They also found rust on the floorboards under the front wheel wells. Add this to a sunroof motor failure just days prior to the ABS brakes failing.Stranded in Harrisburg I did a little research and quickly identified a TSB on Maxima brakes. Nissan owners posted on this subject frequently as well as rust under the floorboards and sunroof failure. I shared my findings with the dealership when they called to announce the nearly 5K in repairs needed for the Maxima.The Faulkner dealership then directed me to call the Nissan Corporate Customer Assistance. I explained the situation and that the car was indeed 8 years old but had merely 60K miles most of which were highway. The interview process was consistent from the dealership to the customer service representative to the final mediator. I realized I was repeating information on the car for three days. The global narrative included;	The car received regular maintenance from the Star Nissan Dealership (I would not recommend this dealership)	The Star Nissan Group sold and maintenanced the car until warranty expiration.	The Star Nissan mechanics failed to notice any of these issues even though they had the car on the rack for 10 days repairing the air conditioning just five months prior.	I personally detailed the car four to five times a yearwashed the undercarriage as well. The day before Thanksgiving the corporate mediator, Glenda, called to announce Nissan would not be providing any repair assistance. Unfortunately, I was also very ill and lacked the energy to pursue the matter. It was essential to repair the brakes so I could make it home and get to a doctor.It is important to know that I loved this car. I selected every option and waited until I found a black on black fully loaded Maxima. This car was serviced more than any other vehicle I have owned. From the 261 lb/sqft torque to the responsive engine this car made me happy..until it didnt.As it turns out, we had a dysfunctional relationship. I gave and gave and Nissan left me sitting. If you have read this and still purchase a Nissan and especially a Maxima remember you were warned.",
-8.301309857746219,neu,neg," I have several smaller quality issues with this car. Door not sealing correctly/wind noise/radio-control knobs sticking/carpeting not secured in place/truck not staying closed/consol compartment not staying closed/etc. With the reputation of Toyota, I am disappointed.",
